"session_id","participantId","id","app","tokenAmount","selectedOption","timestamp","appOrder","tokenOrder","startedAt","completedAt","finalTokenBalance","selectedChoiceId","comprehension_tokenValue","comprehension_rewardType","wasSelected","choiceNumber","timeToAnswer_sec"
"survey-9000-1760541119366","9000","WhatsApp--10-1760541009044","WhatsApp",-10,"limit","2025-10-15T15:10:09.044Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,1,NA
"survey-9000-1760541119366","9000","WhatsApp--5-1760541029272","WhatsApp",-5,"limit","2025-10-15T15:10:29.272Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,2,20.228000164032
"survey-9000-1760541119366","9000","WhatsApp--2-1760541033743","WhatsApp",-2,"limit","2025-10-15T15:10:33.743Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,3,4.47099995613098
"survey-9000-1760541119366","9000","WhatsApp--1-1760541036080","WhatsApp",-1,"tokens","2025-10-15T15:10:36.080Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",TRUE,4,2.33699989318848
"survey-9000-1760541119366","9000","WhatsApp-0-1760541038998","WhatsApp",0,"tokens","2025-10-15T15:10:38.998Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,5,2.91799998283386
"survey-9000-1760541119366","9000","WhatsApp-1-1760541046311","WhatsApp",1,"limit","2025-10-15T15:10:46.311Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,6,7.31300020217896
"survey-9000-1760541119366","9000","WhatsApp-2-1760541047761","WhatsApp",2,"tokens","2025-10-15T15:10:47.761Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,7,1.44999980926514
"survey-9000-1760541119366","9000","WhatsApp-5-1760541049996","WhatsApp",5,"limit","2025-10-15T15:10:49.996Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,8,2.2350001335144
"survey-9000-1760541119366","9000","TikTok--10-1760541058704","TikTok",-10,"limit","2025-10-15T15:10:58.704Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,9,8.70799994468689
"survey-9000-1760541119366","9000","TikTok--5-1760541060691","TikTok",-5,"limit","2025-10-15T15:11:00.691Z","WhatsApp, TikTok","ascending","2025-10-15T15:08:37.080Z","2025-10-15T15:11:40.412Z",9,"WhatsApp--1-1760541036080","1000","En la tienda escolar",FALSE,10,1.98699998855591
